TIME ms, IN1, IN2
-10.205, 0.012451, -4.777832
-10.254, 0.012695, -4.643555
-10.303, 0.012451, -4.072266
-10.352, 0.012451, -3.116455
-10.4, 0.012329, -1.870117
-10.449, 0.012939, -0.452881
-10.498, 0.012573, 1.010742
-10.547, 0.012451, 2.371826
-10.596, 0.012817, 3.503418
-10.645, 0.012939, 4.302979
-10.693, 0.012939, 4.692383
-10.742, 0.012695, 4.638672
-10.791, 0.012695, 4.138184
-10.84, 0.012939, 3.417969
-10.889, 0.012939, 2.258301
-10.938, 0.013062, 0.883789
-10.986, 0.012695, -0.577393
-11.035, 0.012939, -1.988525
-11.084, 0.012817, -3.215332
-11.133, 0.012817, -4.139404
-11.182, 0.012939, -4.674072
-11.23, 0.013062, -4.770508
-11.279, 0.013062, -4.417725
-11.328, 0.013062, -3.649902
-11.377, 0.012939, -2.539062
-11.426, 0.012817, -1.192627
-11.475, 0.013184, 0.266113
-11.523, 0.012939, 1.693115
-11.572, 0.012817, 2.958984
-11.621, 0.013062, 3.94165
-11.67, 0.013184, 4.550781
-11.719, 0.012939, 4.724121
-11.768, 0.013062, 4.449463
-11.816, 0.012939, 3.747559
-11.865, 0.013184, 2.69043
-11.914, 0.013062, 1.375732
-11.963, 0.012939, -0.070801
-12.012, 0.012695, -1.514893
-12.061, 0.013306, -2.619629
-12.109, 0.012695, -3.707275
-12.158, 0.012939, -4.451904
-12.207, 0.012695, -4.77417
-12.256, 0.012817, -4.6521
-12.305, 0.012695, -4.089355
-12.354, 0.012939, -3.143311
-12.402, 0.012817, -1.901855
-12.451, 0.012939, -0.484619
-12.5, 0.012451, 0.976562
-12.549, 0.012451, 2.341309
-12.598, 0.012573, 3.481445
-12.646, 0.012573, 4.291992
-12.695, 0.012329, 4.694824
-12.744, 0.012817, 4.644775
-12.793, 0.012817, 4.157715
-12.842, 0.012573, 3.272705
-12.891, 0.012573, 2.075195
-12.939, 0.012329, 0.679932
-12.988, 0.012451, -0.783691
-13.037, 0.012817, -2.177734
-13.086, 0.012817, -3.36792
-13.135, 0.013062, -4.239502
-13.184, 0.013306, -4.715576
-13.232, 0.012573, -4.743652
-13.281, 0.013672, -4.329834
-13.33, 0.012939, -3.670654
-13.379, 0.013184, -2.568359
-13.428, 0.013794, -1.226807
-13.477, 0.013184, 0.230713
-13.525, 0.013184, 1.663818
-13.574, 0.013062, 2.93335
-13.623, 0.012817, 3.924561
-13.672, 0.013306, 4.541016
-13.721, 0.012695, 4.726562
-13.77, 0.012939, 4.460449
-13.818, 0.013062, 3.770752
-13.867, 0.013062, 2.720947
-13.916, 0.012451, 1.411133
-13.965, 0.012451, -0.03418
-14.014, 0.012695, -1.481934
-14.063, 0.012817, -2.791748
-14.111, 0.012573, -3.83667
-14.16, 0.012695, -4.525146
-14.209, 0.012695, -4.785156
-14.258, 0.013062, -4.598389
-14.307, 0.012817, -3.97583
-14.355, 0.012817, -2.982178
-14.404, 0.012939, -1.710205
-14.453, 0.012817, -0.275879
-14.502, 0.012817, 1.179199
-14.551, 0.012573, 2.312012
-14.6, 0.012817, 3.457031
-14.648, 0.012939, 4.276123
-14.697, 0.012695, 4.686279
-14.746, 0.012817, 4.6521
-14.795, 0.012695, 4.172363
-14.844, 0.012939, 3.294678
-14.893, 0.012573, 2.104492
-14.941, 0.012817, 0.71167
-14.99, 0.012939, -0.751953
-15.039, 0.012695, -2.147217
-15.088, 0.012695, -3.342285
-15.137, 0.013062, -4.226074
-15.186, 0.012695, -4.709473
-15.234, 0.012817, -4.750977
-15.283, 0.012817, -4.346924
-15.332, 0.012817, -3.531494
-15.381, 0.012939, -2.388916
-15.43, 0.012817, -1.019287
-15.479, 0.012817, 0.440674
-15.527, 0.013306, 1.856689
-15.576, 0.012817, 3.096924
-15.625, 0.013062, 4.036865
-15.674, 0.013062, 4.595947
-15.723, 0.013184, 4.714355
-15.771, 0.012939, 4.470215
-15.82, 0.012817, 3.790283
-15.869, 0.012695, 2.749023
-15.918, 0.012817, 1.442871
-15.967, 0.012695, -0.002441
-16.016, 0.012817, -1.448975
-16.064, 0.012939, -2.76001
-16.113, 0.012451, -3.815918
-16.162, 0.012817, -4.512939
-16.211, 0.013306, -4.785156
-16.26, 0.012695, -4.605713
-16.309, 0.012695, -3.995361
-16.357, 0.012573, -3.007812
